Question,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23,Attribute24,Attribute25,Attribute26,Attribute27,Attribute28,Attribute29,Attribute30,PCA,Hypothesis,Value,Hypo
PC1,-0.044053047,-0.02599237,-0.094191696,0.307030647,0.218687526,0.251495894,-0.024745247,-0.061683148,-0.043908233,0.307832869,0.004604302,0.225374271,0.033790221,0.073528895,-0.106546997,-0.121144557,-0.115524354,-0.108461583,-0.038741079,-0.12755368,-0.068709565,-0.191963614,-0.029993424,0.201220338,-0.088873123,0.277892435,0.302745468,0.309775913,0.312190924,0.320358159,0.061814738,TRUE,0.00231,TRUE
PC5,-0.15061747,-0.179484895,0.207413119,-0.121162321,0.088374015,0.038165717,0.233271124,0.034597398,-0.007887368,0.043312944,-0.132979522,0.036277407,-0.365358168,0.431558057,0.129913136,-0.139681083,0.159143842,-0.141378276,0.1646307,0.023697915,0.010571783,0.122942109,-0.458430262,0.025938391,0.196163798,-0.17529306,0.159306354,0.164578576,-0.152074658,0.040358018,0.009528911,TRUE,0.00276,TRUE
PC6,0.33095806,-0.0840522,-0.22734259,-0.06571201,0.03933192,0.18972523,0.04793926,0.04167291,-0.08620745,-0.14234028,0.08295818,-0.20763356,-0.06024205,0.27946158,-0.18222594,0.02739793,-0.0456297,0.28352754,-0.04145376,0.16285449,0.52093205,-0.26542185,-0.09085138,0.17285346,-0.28021846,-0.12488437,0.03927211,0.04999205,-0.05932556,0.01049054,0.010527538,TRUE,0.00379,TRUE
PC7,-0.003013482,0.433700604,-0.006997897,-0.072568467,-0.002918124,0.221652129,-0.315440223,0.064154056,0.047874211,-0.130261137,-0.175362912,0.193391763,0.139203449,0.341836947,0.241220644,-0.201709723,-0.201961745,0.183304685,-0.207123697,-0.063420529,-0.012983581,0.253719782,-0.023080731,0.298162636,0.105765163,-0.031132048,-0.026839066,-0.053906382,0.054305241,-0.193101179,0.028549013,TRUE,0.00201,TRUE
PC10,0.52562104,-0.03363228,0.185664794,0.064371202,-0.198957023,0.120643216,0.199410569,-0.108349984,-0.11449703,0.080254272,-0.274856765,0.030527003,-0.252515617,-0.186641061,0.181724894,0.174160128,-0.075878638,0.097546843,0.070920739,-0.078396462,0.014582385,0.154683941,-0.212780016,0.09535802,0.007343015,0.344607867,-0.149512189,-0.158767618,0.218955518,-0.032895939,0.022956494,TRUE,0.0021,TRUE
PC11,-0.080723612,0.705922637,-0.403777653,0.031624178,-0.133089022,-0.058171008,0.157095245,0.078232919,0.004845295,0.038649887,-0.034865846,-0.144946831,-0.164054079,0.034115236,-0.132867813,0.161859492,0.137606088,-0.002167363,0.188293995,0.004551376,-0.128945527,-0.023676566,-0.240388928,-0.155426459,-0.069135665,0.095118992,-0.007095572,0.070241921,-0.008481345,0.105457805,0.000860059,TRUE,0.00162,TRUE
PC13,0.31860338,-0.01351878,0.01150153,0.13165568,-0.04347242,-0.20655813,-0.2402848,0.07070178,-0.090912,0.04818724,0.12292838,0.01614649,0.43457871,0.12568155,-0.21714774,-0.2089643,0.34280025,-0.06320716,0.14495445,-0.19398888,0.12792992,-0.03512262,-0.32846428,-0.11303044,0.31401631,0.11457259,0.01528374,-0.1136343,0.05724304,-0.07448469,0.01513315,TRUE,0.00264,TRUE
PC15,0.057484813,0.160171019,0.157020347,-0.112700114,0.075340216,-0.23029756,0.061959514,0.02119446,-0.012548117,0.253619227,-0.277478479,-0.075904814,-0.054480901,-0.043206808,-0.068549139,-0.19148885,0.1835714,0.173306124,-0.545074135,0.26173723,0.218993213,0.057605996,0.132752813,-0.20471941,0.181557632,0.091658651,0.009932807,0.10221574,0.002245762,0.291844188,0.022592094,TRUE,0.0023,TRUE
PC17,-0.320802183,0.073056176,0.2705365,-0.08230712,-0.117563375,0.020282503,-0.015924727,0.017863905,-0.003190547,-0.036704246,-0.089141188,0.237376649,-0.014608768,-0.217041879,-0.231572389,0.095155251,0.408947179,0.212993185,0.004103478,-0.015117685,0.032316666,-0.292921219,-0.124887335,0.513278808,-0.042227488,0.011310481,-0.192435691,-0.05449599,-0.022534085,0.012582328,0.001210906,TRUE,0.00385,TRUE
PC19,0.290219053,0.036765432,-0.014645708,0.079038031,0.152140517,-0.120973575,0.016831973,0.047573375,-0.116299697,0.099953573,0.163414582,0.272707351,-0.320741689,0.352536878,-0.243847631,0.049941446,0.306038207,-0.083824138,-0.021690974,0.111146027,-0.275302595,0.121613139,0.413450406,0.106983662,-0.107759881,-0.018993,-0.045747167,-0.167847068,0.008754796,-0.158542476,0.031096428,TRUE,0.00268,TRUE
